#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	CHANGE_SCENE_SUCCESS	切换场景成功	Successful handovescenario
	UI_TEXT_DEFENSEPLUSATTRIBUTE8	伤害减免	Injurrelief
	UI_TEXT_ATTRIBUTE_NUMBER	[b]{0} [00ff00]+{1}[-][/b]	[b] {0} [00ff00]+ {1}[-][/b]
	UI_TEXT_BASE	基础属性	Basiattributes
	UI_TEXT_ATTACKPLUS	攻击加成	Attacbonus
	UI_TEXT_DEFENSEPLUS	防御加成	Defense bonus
	UI_BUTTON_HEROCONSCIOUSNESS	战意	Warpath
	UI_BUTTON_HERORELATION	关系	Relationship
	UI_BUTTON_ELEVATION	飞升	Soaring
	UI_BUTTON_HEROSTARLEVEL	升阶	Ascenthe stairs
	UI_TEXT_ATTRIBUTE_HP	生命	life
	UI_TEXT_ATTRIBUTE_PHYSICALDAMAGE	物攻	Material attack
	UI_TEXT_ATTRIBUTE_MAGICALDAMAGE	法攻	Legal attack
	UI_TEXT_ATTRIBUTE_PHYSICALARMOR	物防	Material prevention
	UI_TEXT_ATTRIBUTE_MAGICALARMOR	法防	Laprevention
	UI_BUTTON_OPENINFO	详细属性	Detaileattributes
	UI_TEXT_LEVELUPCOST	升级花费：	Upgrade costs:
	UI_BUTTON_RECOMMENDATION	推荐	Recommend
	UI_BUTTON_DRESS	装备	Equipment
	UI_BUTTON_UNDRESS	卸下	Unload
	UI_BUTTON_GEARSTRENGTHEN	升级	Upgrade
	UI_BUTTON_GEARFROMPIECES	召唤	Call
	UI_TEXT_USERNAME	角色名称：	Role Name:
	UI_TEXT_SERVERNAMENOW	当前服务器：	Currenserver:
	UI_TEXT_SERVERNAME	服务器名称	Servename
	UI_BUTTON_NEXT	下一步	Nexstep
	UI_TEXT_NOTE	如果放弃，您此次将无法获得：	If yogive up, yowon'geithis time:
	UI_BUTTON_LEAVE	放弃	give up
	UI_BUTTON_REVIVE	复活	Resurrection
	UI_TITLE_NAME_PAUSEFORM	暂停游戏	Pause the game
	UI_BUTTON_LOOKUP	查看	See
	UI_BUTTON_SOUNDSWITCH	开关声音	Switching Sound
	UI_BUTTON_GIVEUP	放弃	Give up
	UI_BUTTON_CONTINUE	继续	Continue
	UI_TITLE_NAME_SELECTFIRSTHERO	英雄选择	HeroiChoice
	UI_TEXT_USERLEVELNUMBER	Lv.{0}	Lv.{0}
	UI_TEXT_USERLEVELNUMBER_BRACKET	(Lv.{0})	(Lv. {0})
	UI_TEXT_SLASHLEVELNUMBER	Lv.{0}/{1}	Lv. {0}/{1}
	UI_TEXT_SLASH	{0}/{1}	{0}/{1}
	UI_TEXT_PLUS	0	Zero
	UI_TEXT_NEWFUNCTION	新功能开启：	Nefunctions open:
	UI_TITLE_NAME_HEROALBUMFORM	英雄图鉴	HeroiIllustration
	UI_TEXT_PROFESSION_3	力士	Lux
	UI_TEXT_PROFESSION_1	战士	Warrior
	UI_TEXT_PROFESSION_2	刺客	Assassin
	UI_TEXT_PROFESSION_5	法师	Master
	UI_TEXT_PROFESSION_4	远程	Long-range
	UI_TITLE_NAME_CLEANOUT	扫荡1次	Sweep once
	UI_TITLE_NAME_CLEANOUTTIMES	扫荡{0}次	Sweep {0} times
	UI_TEXT_CLEANOUTNOTE	当前可扫荡次数： [FED943]{0}[-]次	Currensweepable times: [FED943] {0} [-] times
	UI_BUTTON_FIGHT	开战	Make war
	UI_TEXT_TIMESNUMBER	x{0}	X{0}
	UI_TEXT_ITEMNUMBER_WITHOUTPLUS	{0}	{0}
	UI_TEXT_ANGERSKILLNAME	怒气技能	AngeSkills
	UI_BUTTON_ADDTEAM	添加队友	Adding teammates
	UI_TEXT_REWARDSNOTE	此次获得：	This time:
	UI_TEXT_CLEANOUTREWARDSNOTE	第{0}次扫荡获得：	The {0} sweep obtained:
	UI_TEXT_QUESTNAME	通关条件	Customs clearance conditions
	UI_TEXT_REWARDSNAME	通关奖励	Customs clearance Award
	UI_TEXT_TIMENUMBER	{0}:{1:00}	{0}: {1:00}
	UI_TEXT_VIPNUMBER	{0}	{0}
	UI_BUTTON_SHOP	商店	Shop
	UI_BUTTON_INSTANCE	探险	Explore
	UI_BUTTON_ACTIVITY	活动	Activity
	UI_BUTTON_HERO	英雄	Hero
	UI_BUTTON_DEPOT	锻造	Forging
	UI_BUTTON_SETTING	设置	Seup
	UI_BUTTON_ACHIEVEMENT	成就	Achievement
	UI_BUTTON_PVP	竞技	Sports
	UI_BUTTON_LOTTERY	抽奖	Lucdraw
	UI_BUTTON_SOCIAL	社交	Social contact
	UI_BUTTON_DAILYQUEST	任务	Task
	UI_BUTTON_TEAM	阵容	Lineup
	UI_TEXT_COMPLETEINSTANCE_NUMBER	已完成副本：{0}/{1}	Completecopy: {0}/{1}
	UI_TEXT_EXPPLUS_NUMBER	0	Zero
	UI_TEXT_PER_NUMBER	{0}%	{0}%
	UI_TEXT_GERASTRENGTHENNUMBER	强化等级：{0}	EnhancemenLevel: {0}
	UI_TEXT_PACKETNAME	装备列表	EquipmenList
	UI_BUTTON_FILTER	筛选	Screen
	UI_BUTTON_SAVE	保存	Preservation
	UI_TEXT_GEAR_MAX_HP	血量上限	Uppelimiof bloovolume
	UI_TEXT_GEAR_PHYSICAL_DAMAGE	攻击力	Aggressivity
	UI_TEXT_GEAR_MAGIC_DAMAGE	法术攻击	MagiAttack
	UI_TEXT_GEAR_PHYSICAL_ARMOR	防御力	Defense
	UI_TEXT_GEAR_MAGIC_ARMOR	法术防御	MagiDefense
	UI_TEXT_GEAR_SPEED	移动速度	Moving speed
	UI_TEXT_GEAR_CRITICAL_STRIKE_PCT	暴击率	Critical chance
	UI_TEXT_GEAR_CRITICAL_STRIKE_DAMAGE_PCT	暴击伤害	Critical damage
	UI_TEXT_GEAR_CRITICAL_STRIKE_AVOID_PCT	免爆率	Explosion-free rate
	UI_TEXT_GEAR_PHYSICAL_VAMPIRE	物理吸血	Physical bloosuction
	UI_TEXT_GEAR_VAMPIRE_SPELL	法术吸血	Drainage bmagic
	UI_TEXT_GEAR_PHYSICAL_COUNTERATTACK	物理反击	Physical counterattack
	UI_TEXT_GEAR_MAGIC_COUNTERATTACK	法术反击	Magicounterattack
	UI_TEXT_GEAR_CD_REDUCED_PCT	冷却时间缩减	Cooling time reduction
	UI_TEXT_GEAR_PHYSICAL_ARMOR_REDUCED_PCT	物理穿透	Physical Penetration
	UI_TEXT_GEAR_MAGIC_ARMOR_REDUCED_PCT	法术穿透	Spell penetration
	UI_TEXT_GEAR_DAMAGE_ALL	真实伤害	Real injury
	UI_TEXT_GEAR_COMMON_ATTACK_BONUS	普攻加成	General offensive bonus
	UI_TEXT_GEAR_SKILL_BONUS	技能效果加成	Skill effecbonus
	UI_TEXT_GEAR_PHYSICAL_DAMAGE_INCREASED_PCT	攻击加成	Attacbonus
	UI_TEXT_GEAR_MAGIC_DAMAGE_INCREASED_PCT	法术攻击加成	MagiAttacbonus
	UI_TEXT_GEAR_PHYSICAL_ARMOR_INCREASED_PCT	物理防御加成	Physical Defense Addition
	UI_TEXT_GEAR_MAGIC_ARMOR_INCREASED_PCT	法术防御加成	Spell Defense bonus
	UI_TEXT_GEAR_HP_INCREASED_PCT	血量上限加成	Bloocap plus
	UI_TEXT_GEAR_BACK_TO_THE_BLOOD	待战回血	Returof blootbattle
	UI_TEXT_GEAR_RAGE_INCREASED_PCT	怒气上涨速度	The speeawhich angerises
	UI_TEXT_GEAR_PHYSICAL_COUNTERATTACK_PCT	物理反击几率	Physical counterattacprobability
	UI_TEXT_GEAR_MAGIC_COUNTERATTACK_PCT	法术反击几率	Spell CounterattacProbability
	UI_TEXT_GEAR_PHYSICAL_PENETRATION_PROBABILITY	物理穿透几率	Physical penetratioprobability
	UI_TEXT_GEAR_SPELL_PENETRATION_CHANCE	法术穿透几率	Spell PenetratioProbability
	UI_TEXT_GEAR_DAMAGE_DEDUCTION	伤害减免	Injurrelief
	UI_TEXT_GEAR_HERO_SWITCH_COOL_DOWN_PCT	待战时间缩减	Reducewaiting time
	UI_TEXT_PERCENTNUMBER	{0:P2}	{0:P2}
	UI_BUTTON_AUTO	自动	Automatic
	UI_TEXT_BASEATTRIBUTEPLUS	属性提升	Attribute Promotion
	UI_BUTTON_LEVELUP	升级	Upgrade
	UI_BUTTON_LEVELTOHIGHEST	升至最高	Tthe highest
	UI_TITLE_NAME_GEARUPGRADE	升级	Upgrade
	UI_TITLE_NAME_GEARSTRENGTHERN	强化	Strengthen
	UI_BUTTON_GEARSTRENGTHERN	强化	Strengthen
	UI_TITLE_NAME_GEARFROMPIECES	合成	Synthesis
	UI_BUTTON_GEARFROMPIECESFAST	一键填充	One-clicpadding
	UI_TEXT_HERODESCRIPTION_TEMPORARY	艾欧尼亚岛上存在一个上古教派，致力于维护均衡。规则与混乱、光明与黑暗——万物必须和谐共存，这就是宇宙的真理。该教派名为均衡教派，维护世界均衡的神圣使命则由三个暗影战士来执行。阿卡丽便是这三名暗影勇士中一员，她肩负着修枝的神圣职责——将威胁瓦洛兰大陆和谐的敌人消灭干净。	There is aanciensecothe islanof Ionidedicatetmaintaining balance. Rules anchaos, lighandarkness - everything muscoexisiharmony, which is the truth of the universe. The secis calleBalance Sect, anthe sacremissioof maintaining worlbalance is carrieoubthree shadofighters. Akaris one of the three ShadoWarriors. She has the sacredutof pruning - twipe outhe enemies thathreatethe harmonof the Valoracontinent.
	UI_TEXT_PLAYER_TEMPORARY	麦克华斯基	McWharsky
	UI_TITLE_NAME_ACTIVITY_CHESSMAN	翻翻棋活动	Chess flipping
	UI_TEXT_CHESSMAN_REWARDS	已获得奖励	Awarded
	UI_BUTTON_QUICKCHESSMAN	一键翻棋	y
	UI_TEXT_GEARUPGRADE_NOTICE_FULLLEVEL	您选中的物品已达到满级，目前无法继续升级，请提高玩家等级后再来升级。	The item yoselectehas reachethe full level ancan'be upgradeapresent. Please upgrade iafteupgrading.
	UI_TEXT_ATTRIBUTE_NUMBER_PERC	[b]{0}% [00ff00]+{1}%[-][/b]	[b] {0}% [00ff00] + {1}% [-][/b]
	UI_TEXT_ACTIVITY_CHESSMAN_NOTICE_COSTACTIVTIYNUMBER	需要消耗1次活动点数	Neetconsume 1 active point
	UI_BUTTON_RESET_WITH_TIMES	重置（{0}次）	Rese({0})
	UI_TEXT_CONFIRM_OPEN_CHESS	确定要消耗1次翻棋机会完成此操作吗？	Are yosure yoneetconsume chess-flip opportunittcomplete this operation?
	UI_TEXT_CHESS_CHANGE_RUN_OUT	您今天的翻棋次数已经用尽。	You've ruouof checkers today.
	UI_TEXT_CHESS_DATA_CORRUPT	翻翻棋数据出现问题，请您退出翻翻棋界面。	There is problem with flip data. Please exithe flip interface.
	UI_TEXT_CHESS_OUT_OF_HEROES	您的英雄在今天的活动中已经全部阵亡，不能再对战了。	Youheroes have all beekilleitoday's activities ancanlongefight.
	UI_TEXT_CHESS_TEAM_DEAD	当前阵容中的英雄已经全部阵亡，需要重新选择英雄对战。是否进入阵容选择界面？	All the heroes ithe currenlineup have beekilleanneetre-selecthe heroes tfight. Are yoithe lineup selectiointerface?
	UI_TEXT_CHESS_CAPTAIN_DEAD	您的队长已经阵亡，需要重新指定。是否进入阵容选择界面？	Youcaptaihas beekilleanneeds tbe reassigned. Are yoithe lineup selectiointerface?
	UI_TEXT_CHESS_DEAD_HERO_IN_TEAM	您当前阵容中有已阵亡英雄，是否仍要进入战场？	Dyostill wantentethe battlefielif yohave losheroes iyoucurrenlineup?
	UI_TEXT_CHESS_COMPLETE	恭喜通关！	Congratulations oclearance!
	UI_TEXT_CHESS_RESET_CONFIRM	您是否确认重置棋盘？	Are yosure yowantresethe chessboard?
	UI_TEXT_CHESS_BOMB_CONFIRM	确定要消耗 {0} 颗钻石炸开全部棋子吗？	Are yosure yowantuse {0} diamonds tbloup all the pieces?
	UI_TITLE_NAME_HEROELEVATION	英雄飞升	Heroes Rise
	UI_TITLE_NAME_HEROCONSCIOUSNESS	英雄战意	HeroiWarfare
	UI_TEXT_CHESS_CANNOT_GET_ENEMY_DATA	无法获取战斗所需信息。	Cannoobtaithe informationeedefobattle.
	UI_TEXT_CURRENT_CONCIOUSNESS_LEVEL	英雄当前战意等级：{0}	Hero's CurrenWarfare Level: {0}
	UI_TEXT_CURRENT_ELEVATION_LEVEL	英雄当前飞升等级：{0}	Hero's currenlevel of ascent: {0}
	UI_TITLE_NAME_HEROSOUL	英雄战魂	y
	UI_TEXT_SLASH_RED	[b][ff2323]{0}/{1}[/b]	[b] [ff2323] {0}/{1}[/b]
	UI_TEXT_HEROLEVELFULL	当前英雄已达到满级。	Apresent, the heroes have reachetheifull rank.
	UI_TEXT_PLAYERLEVELFULL	玩家等级已达到满级。	Playelevel has reachefull level.
	UI_TEXT_GEARSTARFULL	当前装备的星级已满。	The currenequipmenis full of stars.
	UI_TEXT_SLASH_GREEN	[b][00ff00]{0}/{1}[/b]	[b] [00ff00] {0}/{1}[/b]
	UI_TEXT_CONFIRM_STARLEVELUP	您确定要消耗{0}个{1}来提升当前英雄的星级吗？	Are yosure yowantconsume {0} an{1} traise the starating of the currenhero?
	UI_TEXT_STARFULL_NOTICE	当前英雄已达到最高星级	Apresent, heroes have reachethe highesstars.
	UI_BUTTON_HEROSOUL	战魂	The Soul of War
	UI_BUTTON_GOTOHEROSOUL	战魂>	Soul of War
	UI_GSUP_NUMBERPLUS	战力：+{0}	Force: +{0}
	UI_BUTTON_CHANGEITEM	更换	Replace
	UI_TEXT_PROFESSION_ALL	全部	Whole
	UI_TITLE_NAME_MERIDIAN	星图	Stamap
	UI_TEXT_MERIDIANENERGY	星图能量：	StaMap Energy:
	UI_TITLE_NAME_EMAIL	邮箱	Mailbox
	UI_TEXT_DATEDAYANDHOUR	{0}天{1}小时	{0} days {1} hours
	UI_TEXT_EMAIL	邮件	Mail
	UI_TEXT_SPECIAL	特殊	Special
	UI_TEXT_MERIDIAN_REWARDS	星图奖励	StaMap Award
	UI_TITLE_NAME_ARIES	Ⅰ 白羊座	Aries
	UI_TITLE_NAME_TAURUS	Ⅱ 金牛座	ITaurus
	UI_TITLE_NAME_GEMINI	Ⅲ 双子座	IIGemini
	UI_TITLE_NAME_CANCER	Ⅳ 巨蟹座	IV Cancer
	UI_TITLE_NAME_LEO	 狮子座	Leo
	UI_TITLE_NAME_VIRGO	Ⅵ 处女座	VVirgo
	UI_TITLE_NAME_LIBRA	Ⅶ 天平座	_Libra
	UI_TITLE_NAME_SCORPIO	Ⅷ 天蝎座	Scorpio
	UI_TITLE_NAME_SAGITTARIUS	Ⅸ 射手座	IX Sagittarius
	UI_TITLE_NAME_CAPRICORN	Ⅹ 摩羯座	Capricorn
	UI_TITLE_NAME_AQUARIUS	Ⅺ 水瓶	_Watebottle
	UI_TITLE_NAME_PISCES	XII 双鱼	XIPisces
	UI_TITLE_NAME_EPIGRAPH	铭文	Glyph of y
	UI_BUTTON_ADDPUNCH	增加槽位	Increase slots
	UI_TEXT_MERIDIAN_COSTDIAMONDS	是否愿意花费{0}颗钻石点亮星星？	Woulyolike tspen{0} diamonds tlighthe stars?
	UI_TITLE_NAME_SALE	出售	Sell
	UI_TITLE_NAME_SHOP	商店	Shop
	UI_BUTTON_GEAR	装备	equipment
	UI_BUTTON_ITEM	道具	Prop
	UI_BUTTON_RECHARGE	充值	Recharge
	UI_BUTTON_GUILD	公会	Guild
	UI_BUTTON_FRIEND	好友	Goofriend
	UI_BUTTON_REQUEST	请求	request
	UI_BUTTON_INVITATION	邀请	Invitation
	UI_TEXT_LASTTIMEONLINE	上次登录：{0}前	Laslogin: {0} before
	UI_TEXT_MERIDIAN_COSTENERGY	是否愿意消耗{0}点星图能量点亮星星？	Woulyolike tuse {0} domap energtlighstars?
	UI_BUTTON_SEARCH	查找	Lookup
	UI_TEXT_RECOMMENDATIONANDSEARCH	查找好友/推荐好友	FinFriends/RecommenFriends
	UI_TEXT_RECOMMENDATION	推荐好友	RecommenFriends
	UI_TEXT_SEARCHANDNEARBY	附近	Nearby
	UI_BUTTON_FRIENDVALUE	拜访	Visit
	UI_TEXT_NOBODYNOTICE	抱歉，未找到合适的玩家……	Sorry, we haven'founthe righplayer...
	UI_TEXT_NORECOMMENDATION	抱歉，已无推荐好友……	Sorry, there are nrecommendefriends...
	UI_TEXT_NOSEARCH	查无此人	None founthis person.
	UI_TEXT_SEARCHINPUT	请输入玩家名字或 ID	Please enteplayename oID
	UI_BUTTON_CHATWORLD	世界	World
	UI_BUTTON_CHATGUILD	公会	Guild
	UI_BUTTON_CHATROOM	组队房间	Team room
	UI_BUTTON_SYSTEMCHAT	系统	System
	UI_BUTTON_CHATPERSONAL	私聊	Private chat
	UI_BUTTON_SENDOUT	发送	Senout
	UI_TEXT_SENDOUTNOTICE	最多可输入50个汉字	Up t50 Chinese characters cabe input
	UI_BUTTON_CHANGENAME	改名	Rename
	UI_TITLE_NAME_PLAYERINFO	玩家信息	PlayeInformation
	UI_BUTTON_QUIT	退出登录	Log out
	UI_TEXT_PLAYERID	ID：{0}	ID: {0}
	UI_TEXT_VIPLEVEL	VIP等级：{0}	VIP Level: {0}
	UI_TEXT_HEROSNUMBER	拥有英雄数量：{0}	Numbeof heroes: {0}
	UI_TEXT_GEARLEVELLIMIT	装备等级上限：{0}	EquipmenLevel UppeLimit: {0}
	UI_BUTTON_CHANGEUSERIMAGE	更改玩家形象	Changing PlayeImage
	UI_TEXT_HEROLEVELLIMIT	英雄等级上限：{0}	HerLevel UppeLimit: {0}
	UI_TEXT_TITLE	称号：{0}	Title: {0}
	UI_TEXT_GS	阵容战力：{0}	Lineup effectiveness: {0}
	UI_TEXT_GS_TEAM	阵容战力：	Lineup strength:
	UI_BUTTON_MASK	屏蔽	Shield
	UI_BUTTON_ADDFRIEND	申请好友	ApplfoFriends
	UI_BUTTON_DELETEFRIEND	删除好友	Delete Friends
	UI_TITLE_NAME_DAILYLOGIN	每日签到奖励	Daily sign-in Award
	UI_TEXT_LOGINNUMBER	本月已签到次数：{0}	Check-in times this month: {0}
	UI_TEXT_PERSONALCHAT_OBJECT	请选择私聊对象	Please choose the person to chat with.
	UI_BUTTON_ACCOUNT	账号	Account number
	UI_BUTTON_CONTENT	内容	Content
	UI_BUTTON_RECEIVE	领取	Receive
	UI_BUTTON_REPLENISH_RECEIVE	补领	Replacement
	UI_BUTTON_DELETE	删除	Delete
	UI_BUTTON_ACCEPT	接受	Accept
	UI_TEXT_GEARUPGRATE_NOTICE_LEVEL	可选择一件装备等级小于玩家等级的装备进行提升	Choose a device that is less than player level to upgrade.
	UI_TEXT_GEARUPGRATE_NOTICE_MONEYNOTENOUGH	金币不足	Insufficient gold coins
	UI_TEXT_GEARSTRENGTHEN_NOTICE_SAMEQUALITY	可选择任意一件“{0}”品质的装备进行强化	Any equipment of {0} quality can be selected for reinforcement.
	UI_TEXT_GEARSTRENGTHEN_NOTICE_MATERIALNOTENOUGH	道具不足	Insufficient props
	UI_TEXT_GEARSTRENGTHEN_NOTICE_QUALITY	当前品质的装备不可进行强化	Current quality equipment cannot be strengthened
	UI_TEXT_GEARFROMPIECES_NOTICE_SAMEQUALITY	请选择5件相同品质装备，成功可获得一件高品质装备	Please select 5 pieces of equipment of the same quality and successfully obtain one piece of equipment of high quality.
	UI_TEXT_CHAT_NOTICE_FREQUENT	两次发送消息太快，请稍候再发送	It's too fast to send messages twice. Please send them again later.
	UI_TEXT_NOTICE_PERSONAL	请选择私聊对象	Please choose the person to chat with.
	UI_TEXT_NOTICE_PERSONAL_OBJECT	我对{0} (Lv.{1})说	I said to {0} (Lv. {1})
	UI_TEXT_NOTICE_PERSONAL_TOME	{0} (Lv.{1})对我说	{0} (Lv. {1}) said to me
	UI_TEXT_NOTICE_CHATTOWORLD	{0} (Lv.{1})	{0} (Lv. {1})
	UI_BUTTON_RECEIVEALL	全部领取	All Received
	UI_TEXT_DAYS	{0} 天	{0} days
	UI_TEXT_HOURS	{0} 小时	{0} hours
	UI_TEXT_MINUTES	{0} 分钟	{0} minutes
	UI_TEXT_HOUR_MINUTE_SECOND	{0:D2}:{1:D2}:{2:D2}	{0:D2}: {1:D2}: {2:D2}
	UI_TEXT_SEARCH_TEXT_TOO_SHORT	您输入的搜索关键字过短。	The search keyword you entered is too short.
	UI_TEXT_SEARCH_TEXT_TOO_LONG	您输入的搜索关键字过长。	The search keyword you entered is too long.
	UI_TEXT_EMAIL_NOTICE_RECEIVE	邮件领取成功	Successful mail collection
	UI_TEXT_EMAIL_NOTICE_RECEIVEALL	全部领取成功	All successful
	UI_TEXT_CHAT_NOTICE_FAILE	聊天消息发送失败	Failed to send chat message
	UI_TEXT_CHAT_NOTICE_EMPTYMESSAGE	请勿发送空消息	Do not send empty messages
	UI_BUTTON_REFRESH	刷新	Refresh
	UI_BUTTON_REFRESH_CD	刷新 {0}	Refresh {0}
	UI_TEXT_FEFRESH_TIME	下次刷新倒计时 {0}	Next refresh countdown {0}
	UI_TITLE_NAME_EPIGRAPHSTRENGTHEN	铭文养成	Unknown Dictionary Inscription Formation
	UI_TITLE_NAME_HEROSOULSTRENGTHEN	战魂养成	Unknown Dictionary
	UI_BUTTON_GEARALBUM	装备图鉴	Unknown Dictionary Equipment Chart
	UI_BUTTON_USEITEM	道具使用	Use of props
	UI_TEXT_MAX_FRIEND_COUNT_REACHED	您好友的数量已经达到上限。	The number of your friends has reached the upper limit.
	UI_BUTTON_SENDLINK	发送超链	Send Hyperlink
	UI_BUTTON_LEAVETEAM	离开队伍	Departure
	UI_TITLE_NAME_ACTIVITYFOUNDRY	千锤百炼	Unknown Dictionary
	UI_BUTTON_CREATETEAM	创建初级队伍	Create a Junior Team
	UI_BUTTON_MATCHING	1v1自动匹配	1v1 automatic matching
	UI_BUTTON_RANDOM_ALL	全随机	Total Random
	UI_BUTTON_LEVEL_PRIMARY	初级锻造	Initial forging
	UI_BUTTON_LEVEL_SECONDARY	中级锻造	Intermediate Forging
	UI_BUTTON_LEVEL_TERTIARY	高级锻造	Advanced Forging
	UI_BUTTON_RECEIVEREWARDS	领取奖励	Reward
	UI_TEXT_EPIGRAPHLEVELFULL	当前铭文已达到满级。	The current level of inscriptions has reached full.
	UI_TEXT_EPIGRAPHLEVEL	当前铭文等级：{0}	Unknown Dictionary Current Glyph Level: {0}
	UI_TEXT_HEROSOULLEVEL	当前战魂等级：{0}	Unknown Dictionary Current Soul of War Level: {0}
	UI_BUTTON_BUYALL	全部购买	Full Purchase
	UI_BUTTON_FREEGIVE	免 费	Free Admission
	UI_TEXT_FREEGEIVE_TIME_LIMITED	免费次数：{0}/{1}	Free times: {0}/{1}
	UI_TEXT_NEXT_FREEGIVE	{0}	{0}
	UI_TEXT_NEXT_FREEGIVE_NAME	距离下次免费	Free next time
	UI_TEXT_CHANCE_GOLD	普通抽奖	Ordinary Draw
	UI_TEXT_CHANCE_DIAMOND	高级抽奖	Advanced Draw
	UI_TEXT_CHANCE_NOTICE_TENTIMESGOLD	[FFDA0EFF]普通抽奖有几率获得[-][0EF1FFFF]高级道具[-]	[FFDA0EFF] Ordinary raffle has a chance of winning [-] [0EF1FFFFFF] advanced props [-]
	UI_TEXT_CHANCE_NOTICE_TENTIMESDIAMOND	[FFDA0EFF]高级抽奖有几率获得[-][FF790DFF]极品英雄[-]	[FFDA0EFF] Advanced Draw has a chance of winning [-] [FF790DFF] Top Heroes [-]
	UI_TEXT_EPIGRAPH_NOTENOUGH_CONDITION	铭文魂石不足，无法进行强化操作	Inscription soul stone is insufficient and cannot be strengthened.
	UI_TEXT_HEROSOUL_NOTENOUGH_CONDITION	未满足魂器升级条件	Unknown Dictionary does not satisfy Horcrux Upgrade Conditions
	UI_TEXT_HEROSOULLEVELFULL	当前魂器已达到满级。	Currently, Horcrux has reached its full level.
	UI_TEXT_ACTIVITY_INVITATION	{0}邀请您加入{1}活动	Unknown Dictionary {0} Invites you to join {1} Activity
	UI_TITLE_NAME_REQUESTLIST	邀请列表	Invitation List
	UI_TEXT_FOUNDRY_TEAM_MATCH_FAIL	目前没有和您匹配的队伍。	There is no matching team at present.
	UI_TEXT_FOUNDRY_KICK_MEMBER	是否踢出{0}？	Does the Unknown Dictionary kick out {0}?
	UI_TEXT_FOUNDRY_PROGRESS	当前等级：{0}（{1}/{2}）	Current Level: {0} ({1}/{2})
	UI_TEXT_FOUNDRY_COMPLETE	已经达成最高等级。	The highest level has been reached.
	UI_TEXT_NO_FRIENDS	您还没有好友。	You have no friends yet.
	UI_TEXT_KICKED_FROM_TEAM	您被踢出了团队。	You were kicked out of the team.
	UI_TEXT_CONFIRM_LEAVE_TEAM	是否确定要退出团队？	Are you sure you want to quit the team?
